Id_Escucha ,Id_Cliente,Id_Cancion,Fecha y Hora de escucha
1,1623,3793,18/7/2023 01:15
2,,3226,29/8/2023 04:36
3,,,21/2/2023 06:13
4,1683,1540,30/9/2023 07:01
5,913,,13/12/2023 10:30
6,268,2559,9/10/2023 00:58
7,35,2108,25/5/2023 03:05
8,1310,4619,20/8/2023 09:44
9,2638,1404,19/11/2023 22:10
10,2255,2774,23/6/2023 21:05
11,1695,3847,20/7/2023 20:35
12,1338,314,22/3/2023 07:36
13,2444,853,8/9/2023 09:05
14,1535,1300,
15,,3057,17/3/2023 02:45
16,1331,1751,1/1/2023 20:25
17,347,1522,27/1/2023 05:20
18,,683,21/2/2023 18:08
19,2305,209,22/3/2023 19:43
20,1815,2839,
21,1658,2317,19/4/2023 00:50
22,969,3669,7/4/2023 01:09
23,,,12/8/2023 20:29
24,2624,182,
25,2259,4300,19/9/2023 16:01
26,2156,1351,17/7/2023 08:29
27,687,2376,
28,195,4300,8/2/2023 02:40
29,2048,3385,19/4/2023 12:26
30,790,4696,13/1/2023 17:09
31,225,22,16/2/2023 14:01
,822,1432,28/5/2023 15:37
33,1841,3024,14/8/2023 06:07
34,1936,2193,28/9/2023 08:25
35,2371,1988,17/12/2023 09:54
36,,2433,
37,1919,939,16/10/2023 00:23
38,,3794,
39,1332,532,3/9/2023 05:11
40,2949,3703,5/3/2023 16:32
41,280,4711,27/12/2023 21:09
42,983,1878,5/4/2023 09:28
43,,393,14/8/2023 11:43
44,1651,487,
45,,2128,
46,2858,4758,24/10/2023 17:45
47,858,295,
48,2473,1117,20/1/2023 02:20
49,1211,4663,19/4/2023 06:08
50,2008,4021,24/10/2023 06:46
,1401,1485,6/6/2023 19:52
52,2226,40,2/8/2023 08:58
53,2920,1594,1/11/2023 20:16
54,2582,2242,18/9/2023 19:23
55,2040,4145,14/8/2023 11:46
56,1053,1544,15/10/2023 05:09
57,1445,3447,19/8/2023 23:21
58,2686,,26/8/2023 23:40
59,1134,3992,2/2/2023 01:01
60,2301,1291,13/3/2023 20:51
61,1339,4103,15/8/2023 20:20
,182,1534,18/1/2023 00:51
63,2225,,15/12/2023 10:19
64,116,455,10/3/2023 22:16
65,1845,57,22/5/2023 22:05
66,291,3169,22/4/2023 06:48
67,,2480,26/5/2023 01:38
68,735,,8/8/2023 13:11
69,678,2240,3/5/2023 16:24
70,1244,,17/8/2023 19:59
71,1160,2032,17/4/2023 01:32
72,,2182,1/2/2023 17:56
73,1569,4769,8/6/2023 04:38
74,814,4285,
75,1691,4320,3/9/2023 12:28
76,656,1731,3/9/2023 08:57
77,1733,3367,22/6/2023 12:18
78,1920,,
79,1657,1145,2/7/2023 15:16
80,2090,2774,7/8/2023 03:01
81,303,3548,2/2/2023 06:24
82,447,1593,
83,2290,3723,22/3/2023 07:45
,2526,2199,11/8/2023 20:09
85,276,718,14/2/2023 09:20
86,710,2810,27/5/2023 20:10
87,1079,570,15/6/2023 04:57
88,1974,2726,31/8/2023 02:52
89,2246,,24/9/2023 11:50
90,1890,4173,20/6/2023 18:12
91,80,3254,14/8/2023 15:54
92,832,4207,3/3/2023 05:12
93,2440,1560,9/10/2023 23:14
94,2346,3041,25/6/2023 17:39
95,322,,
96,748,3681,9/10/2023 04:11
97,552,,16/12/2023 10:54
98,2964,2616,4/7/2023 08:32
99,985,4499,
100,721,3132,24/5/2023 17:36
101,1586,589,31/5/2023 01:06
102,688,211,1/2/2023 07:43
103,375,1161,22/4/2023 05:14
,1832,3948,5/5/2023 12:38
105,544,4216,30/11/2023 09:02
106,1357,,10/6/2023 16:16
107,2793,3916,18/9/2023 12:04
108,2878,737,3/6/2023 10:05
109,2397,4404,26/4/2023 10:11
110,150,3191,26/8/2023 08:52
111,2523,3236,19/5/2023 16:23
112,1037,412,2/6/2023 05:42
113,2058,4565,7/8/2023 00:02
114,667,2020,9/4/2023 10:36
115,,1078,16/3/2023 19:53
116,389,4487,
117,1058,1607,12/11/2023 02:32
118,2269,4411,23/11/2023 09:58
119,2577,1471,14/12/2023 11:54
120,2525,2999,9/12/2023 16:38
121,1825,578,25/1/2023 15:31
122,429,2993,25/2/2023 01:05
123,1022,2189,3/5/2023 01:22
124,530,,15/7/2023 04:25
125,1615,1783,19/1/2023 23:53
126,2284,2889,25/9/2023 19:44
127,2999,4747,17/12/2023 02:05
128,394,,25/1/2023 22:15
129,2507,400,28/3/2023 01:24
130,,,21/6/2023 03:19
131,580,2116,5/10/2023 21:14
132,694,492,9/3/2023 01:28
133,2612,1518,5/2/2023 19:15
134,2224,189,28/5/2023 16:58
135,1376,4625,3/4/2023 08:58
136,1751,,15/9/2023 12:54
137,,815,25/3/2023 00:05
138,,4252,
139,27,4398,23/10/2023 07:34
140,679,2379,6/2/2023 08:43
141,2937,1102,21/5/2023 17:07
142,1941,1299,29/6/2023 14:09
143,2964,3207,19/2/2023 13:31
144,1325,3757,29/4/2023 14:57
145,1655,1903,
146,842,684,16/4/2023 22:02
147,321,1351,14/8/2023 09:57
148,,1686,28/3/2023 12:55
149,2753,268,4/2/2023 08:52
150,,4617,9/7/2023 12:07
151,55,980,
152,2053,4880,2/8/2023 15:14
153,2905,3048,11/2/2023 07:31
154,96,4547,17/1/2023 22:27
155,609,222,8/1/2023 14:18
156,1330,4132,20/12/2023 08:08
157,1258,3069,18/9/2023 20:23
158,438,3329,16/4/2023 06:21
159,1009,4853,1/10/2023 04:10
160,2083,3486,
161,2819,497,11/12/2023 12:14
162,1941,,27/7/2023 00:01
163,18,177,3/4/2023 16:04
164,2902,3567,16/11/2023 05:59
165,,2536,31/3/2023 10:47
166,792,1979,24/1/2023 12:45
167,2075,4729,16/5/2023 16:38
168,2640,3222,
169,,4952,20/4/2023 00:59
,301,1197,27/4/2023 02:46
171,1522,475,
172,1384,3509,14/3/2023 13:06
173,567,4325,1/7/2023 01:56
174,1020,3564,29/9/2023 08:23
175,1335,2143,21/1/2023 03:09
176,865,1500,16/2/2023 08:06
177,,2923,
178,1282,4212,27/8/2023 01:34
179,2338,1328,11/1/2023 08:05
180,2413,3529,27/11/2023 15:41
181,2038,1534,1/4/2023 09:45
182,1077,311,7/2/2023 21:05
183,1663,4971,17/11/2023 08:44
184,2801,2724,17/3/2023 00:32
185,529,2408,22/8/2023 04:30
186,,2480,6/2/2023 19:35
187,1582,530,25/12/2023 02:11
188,2959,926,14/12/2023 01:18
189,2057,4434,20/7/2023 01:16
190,174,,23/5/2023 10:47
191,1017,,21/5/2023 18:52
192,236,1290,27/4/2023 04:11
,989,336,16/10/2023 12:55
194,,2975,26/8/2023 16:38
195,1178,4288,7/9/2023 18:08
196,618,2241,14/3/2023 22:15
197,1091,1977,4/9/2023 06:45
198,1731,4099,15/7/2023 18:35
199,1507,4487,27/4/2023 14:57
200,,4947,
201,2023,3088,14/6/2023 01:31
202,1786,3235,17/10/2023 06:22
203,2464,1831,26/6/2023 14:37
204,554,3488,30/1/2023 16:18
205,2761,2424,9/3/2023 06:28
206,,423,9/4/2023 03:10
207,1192,4619,3/5/2023 12:07
208,2031,,27/2/2023 12:33
209,2304,2696,15/5/2023 03:18
210,,3258,10/7/2023 10:09
211,2072,3017,21/5/2023 21:48
212,1512,55,12/8/2023 06:47
213,1709,2214,10/4/2023 20:34
214,238,4705,30/6/2023 07:30
215,1544,,28/10/2023 06:27
216,2488,2068,4/6/2023 10:11
217,2196,1830,13/10/2023 03:32
218,1924,4446,30/11/2023 04:29
219,1695,991,15/4/2023 01:29
220,,4313,6/2/2023 08:59
221,,1660,8/4/2023 21:31
222,2324,1769,24/1/2023 12:50
,598,160,29/7/2023 07:04
224,599,4402,1/3/2023 00:55
225,2881,3544,6/4/2023 09:30
226,1656,3391,16/11/2023 19:38
227,2388,3182,28/3/2023 04:11
228,1997,,27/5/2023 15:21
229,1287,3440,25/1/2023 00:49
230,978,4824,24/1/2023 03:57
231,112,1788,27/12/2023 11:02
232,2976,1819,15/5/2023 19:47
233,2046,,
234,2478,2602,5/6/2023 23:22
235,3,3964,11/7/2023 21:23
236,277,1220,27/10/2023 00:16
237,1097,3044,16/8/2023 01:27
238,1894,3490,16/4/2023 10:33
,725,312,25/1/2023 10:12
240,2965,2585,8/10/2023 00:14
241,857,89,17/3/2023 23:00
242,2359,3210,1/5/2023 21:22
243,,1007,7/12/2023 16:47
244,,2996,20/9/2023 00:33
245,417,1975,9/9/2023 03:44
246,1277,3141,
247,2881,2777,24/12/2023 17:51
248,1113,1157,3/7/2023 11:15
249,1524,3476,25/4/2023 18:19
250,616,4264,26/8/2023 01:01
251,1534,488,28/1/2023 13:26
252,1387,831,3/6/2023 16:43
253,907,2958,18/11/2023 17:56
254,1350,2766,18/1/2023 11:51
255,275,1935,17/2/2023 18:41
256,791,2215,10/6/2023 10:29
257,98,2105,7/6/2023 07:51
258,2172,4259,18/12/2023 01:08
259,2897,2175,17/1/2023 08:20
260,,843,27/5/2023 00:45
261,2771,2043,1/9/2023 13:01
262,,1621,21/3/2023 02:07
263,2817,124,10/2/2023 01:38
264,2708,592,2/3/2023 22:29
265,1222,2148,13/8/2023 15:40
266,760,832,30/7/2023 22:27
267,1629,184,6/7/2023 09:02
268,2696,2559,15/12/2023 22:29
269,174,4505,
270,1519,3852,30/11/2023 01:31
271,2090,2376,14/2/2023 23:55
272,2406,86,
273,2037,4715,14/8/2023 11:20
274,1939,,28/5/2023 00:28
275,1257,4180,
276,2803,3165,5/10/2023 05:01
277,2525,810,18/6/2023 21:41
278,2101,2203,30/3/2023 20:18
279,1369,,12/8/2023 03:21
280,,2249,13/3/2023 01:20
281,2260,1590,
282,1882,,19/5/2023 22:28
283,248,1178,19/10/2023 17:21
284,1615,3241,
285,2442,644,3/5/2023 00:38
286,2260,26,15/1/2023 09:06
287,461,2970,31/5/2023 01:13
288,241,4157,16/2/2023 23:12
289,1021,4817,6/3/2023 06:57
290,2452,4058,19/6/2023 00:23
291,1601,342,29/8/2023 12:33
292,115,1018,3/6/2023 22:05
293,2902,382,5/8/2023 02:39
294,1623,2886,25/8/2023 19:50
295,2660,4447,10/3/2023 13:59
296,2900,1866,13/7/2023 07:34
297,443,990,28/5/2023 09:12
298,221,2256,21/1/2023 12:00
299,1792,4911,8/11/2023 03:01
300,1026,1704,14/6/2023 18:17
301,2871,3759,24/10/2023 12:20
302,416,3438,6/8/2023 14:51
303,726,,5/1/2023 16:19
304,2193,448,30/5/2023 18:49
305,1304,3482,31/3/2023 00:28
306,2190,83,17/8/2023 21:11
307,1809,3065,31/8/2023 19:36
308,,4313,6/1/2023 00:56
309,1393,3332,21/1/2023 02:29
310,387,1694,12/10/2023 14:48
311,,1092,28/5/2023 23:26
312,,3903,27/9/2023 08:40
313,2363,4745,20/6/2023 01:00
314,930,,23/2/2023 05:00
315,2242,2638,9/5/2023 12:51
316,2523,266,21/6/2023 20:15
317,283,2267,27/7/2023 14:27
318,2957,1353,29/1/2023 01:03
319,959,3744,23/7/2023 12:27
320,849,543,21/12/2023 07:32
321,1375,1923,28/10/2023 09:29
322,1247,2284,21/5/2023 20:34
323,1981,1216,2/10/2023 22:53
324,2058,174,13/2/2023 14:34
325,1579,1580,31/1/2023 21:32
326,1183,517,16/1/2023 17:10
327,668,3115,12/9/2023 18:02
328,2986,,30/3/2023 04:25
329,631,2079,9/6/2023 03:05
330,583,1633,23/2/2023 05:28
331,2495,1773,26/3/2023 08:28
332,2519,2399,11/6/2023 01:01
333,1511,4707,22/1/2023 23:02
334,1736,146,2/9/2023 12:37
,623,1743,
336,2884,2291,1/1/2023 03:41
337,525,434,27/3/2023 12:15
338,2111,,21/12/2023 19:27
339,2149,4327,28/8/2023 00:04
340,1697,2077,5/9/2023 09:26
341,3000,2822,5/4/2023 10:12
342,79,1865,27/11/2023 16:22
343,2940,4931,
344,1884,4818,15/8/2023 07:54
345,385,4685,25/11/2023 18:17
346,,2711,2/3/2023 22:49
347,318,1136,25/6/2023 15:44
348,100,4071,
349,791,1543,27/2/2023 23:35
350,2235,2138,
351,2365,3813,10/10/2023 08:00
352,443,2895,23/4/2023 20:43
