Id_Cancion ,Id_Artista,Id_Genero,NombreCancion,FechaLanzamiento
1,2,4,Because the Night,5/4/2020
2,3,,I'm Not in Love,
3,3,4,Dreadlock Holiday,17/12/2010
4,3,,The Things We Do For Love,22/6/2002
5,3,7,Neanderthal Man,30/10/2001
6,3,6,Rubber Bullets,2/4/2024
7,4,14,Simon Says,23/8/2003
8,4,14,"1, 2, 3, Red Light",3/6/2018
9,4,,Indian Giver,30/1/2004
10,5,1,Wiggle It,5/5/2003
11,6,,No Limit,8/7/2011
12,6,7,Tribal Dance,8/11/2020
13,6,2,The Real Thing,29/8/2008
14,6,11,Twilight Zone,8/2/2022
15,6,8,Get Ready For This,23/3/2007
16,7,7,Short Dick Man,24/10/2007
17,8,5,Changes,17/4/2002
18,8,12,Dear Mama,19/10/2016
19,8,,How Do U Want It,28/2/2006
20,9,7,California Love,12/9/2000
21,10,17,Ghetto Gospel,
22,11,11,Don't Trust Me,28/12/2002
23,12,13,"Blah, Blah, Blah",21/8/2010
24,13,5,Anything,2/12/2018
25,14,11,Stand By Me,21/11/2019
26,15,12,Sukiyaki,19/7/2021
27,16,19,In Da Club,26/11/2000
28,16,,21 Questions,24/12/2012
29,16,13,PIMP,5/3/2019
30,16,20,Just a Lil Bit,20/10/2004
31,17,19,Ayo Technology,12/9/2007
32,18,14,Candy Shop,20/10/2019
33,19,7,I'm On Fire,30/11/2017
34,20,,Where My Girls At?,19/12/2022
35,21,15,Give Me Just One Night,21/4/2010
36,22,,I Ran (So Far Away),24/11/2020
37,23,18,Jay Ho (you Are My Destiny),13/10/2012
38,24,12,Boogie Oogie Oogie,14/4/2022
,25,7,Try Again,21/3/2013
40,25,13,Back & Forth,25/1/2021
41,25,17,Are You That Somebody?,31/10/2002
42,25,13,Miss You,29/1/2016
43,26,1,Tell it Like it Is,11/9/2014
44,27,6,Dancing Queen,11/8/2017
45,27,5,Waterloo,28/1/2023
46,27,,Fernando,7/8/2004
47,27,4,SOS,31/12/2022
48,27,14,The Winner Takes it All,30/1/2006
49,27,19,"Money, Money, Money",12/11/2020
50,27,12,"Knowing Me, Knowing You",20/5/2023
51,27,4,Take a Chance On Me,8/3/2010
52,27,13,Chiquitita,10/1/2000
53,27,9,"I Do, I Do, I Do, I Do, I Do",22/6/2015
54,27,14,Mamma Mia,24/10/2021
55,27,1,Super Trouper,25/4/2001
56,27,14,The Name of the Game,27/11/2005
57,27,1,One of Us,30/7/2004
58,27,12,Gimme! Gimme! Gimme! (A Man After Midnight),3/11/2010
59,27,15,Summer Night City,10/6/2011
60,27,14,I Have a Dream,18/1/2014
61,27,5,Does Your Mother Know,18/5/2024
62,27,19,Ring Ring,
63,27,13,The Day Before You Came,5/5/2006
64,28,14,The Look of Love,7/5/2008
65,29,,You Shook Me All Night Long,7/12/2023
66,29,17,Thunderstruck,3/6/2001
67,29,2,Highway to Hell,
68,30,19,How Long?,28/12/2020
69,31,10,The Sign,5/6/2021
70,31,1,All That She Wants,6/9/2013
71,31,3,Don't Turn Around,17/7/2018
72,31,2,Beautiful Life,13/12/2014
73,31,2,Lucky Love,18/2/2007
74,32,13,Antmusic,18/8/2023
75,32,5,Prince Charming,
76,32,11,Stand & Deliver,2/2/2000
77,33,20,Goody Two Shoes,6/6/2019
78,34,20,Theme From 'Mission Impossible',27/9/2000
79,35,4,What Do You Want From Me?,10/4/2018
80,36,6,Killer,6/1/2020
81,37,15,Rolling In The Deep,3/11/2013
82,37,11,Someone Like You,18/10/2011
83,37,17,Skyfall,4/10/2016
84,37,4,Set Fire To The Rain,12/3/2014
85,37,10,Chasing Pavements,21/6/2020
86,38,18,Freak Like Me,3/10/2023
87,39,4,I Don't Want to Miss a Thing,28/2/2000
88,39,4,Cryin',23/10/2008
89,39,16,Jaded,4/3/2011
90,39,8,Livin' On the Edge,13/12/2011
91,39,10,Janie's Got a Gun,21/10/2012
92,39,1,Amazing,23/11/2012
93,39,17,Dream On,12/4/2002
94,39,6,Falling in Love (Is Hard on the Knees),11/10/2022
95,39,18,Crazy,20/8/2021
96,39,18,Love in an Elevator,13/8/2023
97,39,15,Walk This Way,13/4/2020
98,39,11,Angel,
99,40,7,Because I Got High,7/7/2010
100,41,4,Take On Me,26/11/2002
101,41,19,The Sun Always Shines On TV,
102,41,15,Crying in the Rain,30/11/2023
103,41,11,The Living Daylights,13/7/2008
104,42,19,All Out of Love,
105,42,15,The One that You Love,1/6/2017
106,42,,Making Love (Out of Nothing At All),5/9/2023
107,42,14,Lost in Love,14/4/2018
108,43,10,Lonely,31/8/2012
109,43,5,Smack That,27/12/2011
110,43,9,Don't Matter,9/7/2006
111,43,,"Right Now (Na, Na, Na)",16/12/2012
112,44,1,I Wanna Love You,28/1/2008
113,45,9,Pistol Packin' Mama,20/9/2002
114,46,3,Let's Stay Together,29/5/2004
115,46,17,I'm Still in Love With You,11/2/2007
116,46,10,Tired of Being Alone,20/4/2001
117,46,7,Look What You Done for Me,24/4/2015
118,47,,Unchained Melody,10/2/2008
119,48,19,Java,5/9/2023
120,49,12,Swanee,11/6/2021
121,49,19,"California, Here I Come",
122,49,3,April Showers,
123,49,17,Toot Toot Tootsie (Goodbye),16/11/2022
124,49,14,Sonny Boy,14/2/2019
125,49,1,Rock-A-Bye Your Baby (With a Dixie Melody),10/9/2014
126,49,15,My Mammy,22/5/2017
127,49,18,Anniversary Song,5/5/2020
128,49,7,I'm Sitting On Top of the World,5/8/2002
129,49,17,"When the Red, Red Robin Comes Bob-Bob-Bobbin' Along",
130,49,12,All Alone,4/8/2003
131,50,20,Here in My Heart,20/5/2021
132,50,15,Spanish Eyes,20/4/2015
133,51,7,Year of the Cat,5/6/2006
134,52,10,You Call Everybody Darlin',13/9/2004
135,53,10,Tu t'en vas,24/8/2022
136,54,4,Undercover Angel,8/10/2011
137,55,19,Ironic,16/3/2001
138,55,6,Hands Clean,1/10/2019
139,55,15,Thank U,21/6/2024
,55,,You Learn,16/4/2014
