País,Continente
Argentina,América
Australia,Oceanía
Brasil,América
Canadá,América
China,Asia
España,Europa
Francia,Europa
Alemania,Europa
India,Asia
Indonesia,Asia
Italia,Europa
Japón,Asia
Kenia,África
México,América
Nigeria,África
Reino Unido,Europa
Rusia,Europa/Asia
Sudáfrica,África
Estados Unidos,América
Egipto,África
Grecia,Europa
Turquía,Europa/Asia
Arabia Saudita,Asia
Corea del Sur,Asia
Vietnam,Asia
Suecia,Europa
Noruega,Europa
Finlandia,Europa
Dinamarca,Europa
Bélgica,Europa
Países Bajos,Europa
Polonia,Europa
Portugal,Europa
Suiza,Europa
Austria,Europa
Hungría,Europa
República Checa,Europa
Eslovaquia,Europa
Croacia,Europa
Rumanía,Europa
Bulgaria,Europa
Serbia,Europa
Bosnia y Herzegovina,Europa
Albania,Europa
Macedonia del Norte,Europa
Montenegro,Europa
Kosovo,Europa
Islandia,Europa
Irlanda,Europa
Lituania,Europa
Letonia,Europa
Estonia,Europa
Bielorrusia,Europa
Ucrania,Europa
Moldavia,Europa
Georgia,Europa/Asia
Armenia,Europa/Asia
Azerbaiyán,Europa/Asia
Kazajistán,Asia
Uzbekistán,Asia
Turkmenistán,Asia
Kirguistán,Asia
Tayikistán,Asia
Irán,Asia
Irak,Asia
Siria,Asia
Jordania,Asia
Líbano,Asia
Israel,Asia
Palestina,Asia
Omán,Asia
Emiratos Árabes Unidos,Asia
Qatar,Asia
Kuwait,Asia
Bahrein,Asia
Yemen,Asia
Mongolia,Asia
